district,code,name,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Charlotte-Mecklenburg Schools,600436,Lake Wylie Elementary,60.7,C,58.4,3
Onslow County Schools,670318,Dixon Middle,40.6,C,58.4,3
Wake County Schools,920342,Brier Creek Elementary,32.3,C,58.4,3
Cabarrus County Schools,130310,Central Cabarrus High,43.7,B,58.3,3
Rutherford County Schools,810342,East Rutherford Middle School,47.1,C,58.3,3
Charter Schools,69A000,Arapahoe Charter School,60.4,C,58.3,3
Davidson County Schools,290320,Denton Elementary,56.3,C,58.2,3
Gaston County Schools,360348,Catawba Heights Elementary,55,C,58.2,3
Jones County Schools,520324,Jones Middle,70.3,C,58.2,3
Lincoln County Schools,550316,GE Massey Elementary,73.2,C,58.2,3
McDowell County Schools,590356,West McDowell Middle School,54.9,C,58.2,3
Person County Schools,730360,Southern Middle,54.4,C,58.2,3
Rutherford County Schools,810324,Chase High School,30.4,B,58.2,3
Transylvania County Schools,880328,Rosman High,44.6,B,58.2,3
Durham Public Schools,320319,Creekside Elementary,43.4,C,58.1,3
Johnston County Schools,510336,East Clayton Elementary,26.1,C,58.1,3
Montgomery County Schools,620318,Green Ridge Elementary,84.5,C,58.1,3
Randolph County Schools,760344,Randleman Elementary,70.7,C,58.1,3
Charter Schools,92P000,Southern Wake Academy,<5,C,58.1,3
Camden County Schools,150304,Camden County High,20.9,B,58,3
Columbus County Schools,240354,Hallsboro-Artesia Elementary,79.8,C,58,3
Cumberland County Schools,260357,Grays Creek High,45,C,58,3
Guilford County Schools,410400,Guilford Elementary,51.5,C,58,3
Sampson County Schools,820385,Union Intermediate,80.4,C,58,3
Wake County Schools,920533,Pleasant Grove Elementary,40.4,C,58,3
Cabarrus County Schools,130327,Northwest Cabarrus Middle,52.5,C,57.9,3
Catawba County Schools,180312,Banoak Elementary,59.7,C,57.9,3
Columbus County Schools,240328,Cerro Gordo Elementary,71.3,C,57.9,3
New Hanover County Schools,650343,Holly Shelter Middle,65.4,C,57.9,3
Wake County Schools,920399,Durant Road Middle,45.3,C,57.9,3
Wilson County Schools,980396,Wells Elementary,51.7,C,57.9,3
Brunswick County Schools,100342,Virginia Williamson Elem,75.5,C,57.8,3
Buncombe County Schools,110338,Owen Middle,54.9,C,57.8,3
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,40.9,B,57.8,3
Stokes County Schools,850336,Pine Hall Elementary,55.6,C,57.8,3
Charter Schools,13A000,Carolina International School,14.9,C,57.8,3
Caldwell County Schools,140348,Hibriten High,47.6,B,57.7,3
Caldwell County Schools,140386,South Caldwell High,42.3,C,57.7,3
Cumberland County Schools,260340,College Lakes Elementary,67.9,C,57.7,3
Madison County Schools,570319,Madison Middle School,53.6,C,57.7,3
Vance County Schools,910304,Aycock Elementary,58.4,C,57.7,3
Wilkes County Schools,970388,West Wilkes High School,36.3,B,57.7,3
Wilson County Schools,980348,Lee Woodard Elementary,46.8,C,57.7,3
Guilford County Schools,410454,Madison Elementary,71.7,C,57.6,3
Stokes County Schools,850320,Lawsonville Elementary,48.9,C,57.6,3
Brunswick County Schools,100326,North Brunswick High,62.9,B,57.5,3
Cumberland County Schools,260383,Mac Williams Middle,57.3,C,57.5,3
Cumberland County Schools,260459,William T Brown Elementary,69.1,C,57.5,3
Durham Public Schools,320308,Burton Elementary,58.8,C,57.5,3
McDowell County Schools,590332,Nebo Elementary School,66.7,C,57.5,3
Charlotte-Mecklenburg Schools,600475,Vaughan Academy of Technology,58.7,C,57.5,3
Perquimans County Schools,720312,Hertford Grammar,55.6,C,57.5,3
Rowan-Salisbury Schools,800406,West Rowan Elementary,55.4,C,57.5,3
Transylvania County Schools,880318,Pisgah Forest Elementary,53.3,C,57.5,3
Wilson County Schools,980388,Stantonsburg Elementary,45.5,C,57.5,3
Whiteville City Schools,241308,Edgewood Elementary,84.6,C,57.4,3
Cumberland County Schools,260362,Grays Creek Middle,50.7,C,57.4,3
Johnston County Schools,510324,Clayton High,26.6,C,57.4,3
Lee County Schools,530354,J R Ingram Jr Elementary,69.7,C,57.4,3
Stokes County Schools,850304,Chestnut Grove Middle,44.9,C,57.4,3
Yadkin County Schools,990325,Starmount Middle,62.8,C,57.4,3
Davie County Schools,300308,Cooleemee Elementary,75.6,C,57.3,3
Forsyth County Schools,340416,Kernersville Elementary,51.3,C,57.3,3
Gaston County Schools,360514,W C Friday Middle School,53.7,C,57.3,3
Henderson County Schools,450316,East Henderson High,49.4,B,57.3,3
Hoke County Schools,470346,Upchurch Elementary,64.7,C,57.3,3
Onslow County Schools,670304,Bell Fork Elementary,69.8,C,57.3,3
Alexander County Schools,20306,East Alexander Middle,53.6,C,57.2,3
Kannapolis City Schools,132308,Forest Park Elementary,41.7,C,57.2,3
Cumberland County Schools,260326,Elizabeth M Cashwell Elementary,79.4,C,57.2,3
Haywood County Schools,440348,Hazelwood Elementary,45.4,C,57.2,3
Johnston County Schools,510411,Swift Creek Middle,38.6,C,57.2,3
Rockingham County Schools,790402,Williamsburg Elementary,54.6,C,57.2,3
Stokes County Schools,850338,Piney Grove Middle,50.9,C,57.2,3
Wayne County Public Schools,960388,Tommy's Road Elementary,54.7,C,57.2,3
Alamance-Burlington Schools,10340,Elon Elementary,47.1,C,57.1,3
Cleveland County Schools,230334,East Elementary,66.8,C,57.1,3
Craven County Schools,250336,Havelock Elementary,66.3,C,57.1,3
Roanoke Rapids City Schools,421306,Chaloner Middle School,64.8,C,57.1,3
Harnett County Schools,430369,Overhills Elementary,52.5,C,57.1,3
Chapel Hill-Carrboro Schools,681300,Northside Elementary,46.3,C,57.1,3
Richmond County Schools,770360,Rockingham Middle,70.2,C,57.1,3
Rutherford County Schools,810384,R-S Central High School,33.5,C,57.1,3
Transylvania County Schools,880304,Brevard Elementary,53.5,C,57.1,3
Orange County Schools,680328,Grady Brown Elementary,52.1,C,57,3
Richmond County Schools,770328,Hamlet Middle,82.6,C,57,3
Union County Public Schools,900360,Sun Valley High,25.1,B,57,3
Wayne County Public Schools,960360,Norwayne Middle,53.8,C,57,3
Brunswick County Schools,100344,Waccamaw,73.3,C,56.9,3
Charter Schools,35A000,Crosscreek Charter School,25.9,C,56.9,3
Catawba County Schools,180348,Maiden High,37.6,B,56.8,3
Hickory City Schools,181344,Viewmont Elementary,67.2,C,56.8,3
Cherokee County Schools,200314,Hiwassee Dam High,48.2,B,56.8,3
Davidson County Schools,290375,Tyro Elementary,53.8,C,56.8,3
Durham Public Schools,320327,Hope Valley Elementary,68.7,C,56.8,3
Harnett County Schools,430320,Buies Creek Elementary,42.3,C,56.8,3
Rockingham County Schools,790394,Western Rockingham Middle,59.5,C,56.8,3
Avery County Schools,60328,Newland Elementary,73,C,56.7,3
Caldwell County Schools,140376,Oak Hill Elementary,67.5,C,56.7,3
Davidson County Schools,290312,Churchland Elementary,61.3,C,56.7,3
Forsyth County Schools,340426,Kimmel Farm Elementary,39.3,C,56.7,3
Lenoir County Public Schools,540340,Southwood Elementary,61.2,C,56.7,3
Moore County Schools,630317,Crain's Creek Middle,50.9,C,56.7,3
Pender County Schools,710332,Rocky Point Elementary,89.8,C,56.7,3
Rutherford County Schools,810340,East Rutherford High School,31.6,B,56.7,3
Cumberland County Schools,260320,Brentwood Elementary,77.7,C,56.6,3
Davidson County Schools,290322,E Lawson Brown Middle,52,C,56.6,3
Alleghany County Schools,30304,Alleghany High,51.9,B,56.5,3
Anson County Schools,40304,Anson Co. Early College High,33.6,B,56.5,3
Buncombe County Schools,110451,Eblen Intermediate,73.6,C,56.5,3
Gates County Schools,370304,Buckland Elementary,52.4,C,56.5,3
Johnston County Schools,510376,Princeton High,44.7,C,56.5,3
McDowell County Schools,590344,Pleasant Gardens Elementary School,56,C,56.5,3
Charlotte-Mecklenburg Schools,600446,Mallard Creek Elementary,54.8,C,56.5,3
Vance County Schools,910356,Pinkston Street Elementary,82.5,C,56.5,3
Wake County Schools,920593,Wakefield Elementary,42.8,C,56.5,3
Alamance-Burlington Schools,10388,Southern Alamance High,34.5,C,56.4,3
Beaufort County Schools,70325,Chocowinity Middle,65.1,C,56.4,3
Buncombe County Schools,110444,Woodfin Elementary,45.5,C,56.4,3
Caldwell County Schools,140368,William Lenoir Middle,57.5,C,56.4,3
Franklin County Schools,350310,Bunn Middle,62.9,C,56.4,3
Granville County Schools,390320,G. C. Hawley Middle,39.5,C,56.4,3
Bladen County Schools,90317,Bladenboro Primary,83.9,C,56.3,3
Duplin County Schools,310360,North Duplin Elementary,64.8,C,56.3,3
Lincoln County Schools,550340,Childers Elementary,59.9,C,56.3,3
Pitt County Schools,740358,G R Whitfield,64.8,C,56.3,3
Watauga County Schools,950324,Mabel Elementary,59.6,C,56.3,3
Avery County Schools,60316,Crossnore Elementary,58.5,C,56.2,3
Buncombe County Schools,110308,Barnardsville Elementary,61.8,C,56.2,3
Jackson County Schools,500304,Cullowhee Valley School,59.7,C,56.2,3
Pamlico County Schools,690316,Pamlico County Middle,48.8,C,56.2,3
Charter Schools,93R000,Raleigh Oak Charter,5.1,C,56.2,3
Henderson County Schools,450336,Hillandale Elementary,67.9,C,56.1,3
Johnston County Schools,510359,McGee's Crossroads Middle,37.3,C,56.1,3
Pender County Schools,710328,Penderlea Elementary,75.5,C,56.1,3
Robeson County Schools,780398,Rowland Norment Elementary,87.5,C,56.1,3
Rowan-Salisbury Schools,800368,Morgan Elementary,57.8,C,56.1,3
Wake County Schools,920368,Cary High,28.6,C,56.1,3
Newton Conover City Schools,182321,Newton-Conover Middle,59.2,C,56,3
Franklin County Schools,350308,Bunn High,53.1,B,56,3
Onslow County Schools,670364,White Oak High,47.3,B,56,3
Pasquotank County Schools,700324,Sheep-Harney Elementary,52.3,C,56,3
Rowan-Salisbury Schools,800356,Granite Quarry Elementary,57.2,C,56,3
Durham Public Schools,320332,Forest View Elementary,57.3,C,55.9,3
Rockingham County Schools,790347,Lincoln Elementary,57.1,C,55.9,3
Charter Schools,41F000,Triad Math and Science Academy,62.6,C,55.9,3
Beaufort County Schools,70328,John Small Elementary,65.2,C,55.8,3
Cabarrus County Schools,130318,C C Griffin Middle,50.7,C,55.8,3
Chatham County Schools,190316,Chatham Central High,37.3,B,55.8,3
Gaston County Schools,360376,Costner Elementary,49.5,C,55.8,3
Gaston County Schools,360426,Holbrook Middle,65.3,C,55.8,3
Jones County Schools,520308,Comfort Elementary,71.2,C,55.8,3
Stanly County Schools,840332,North Stanly High,38.2,B,55.8,3
Wake County Schools,920540,Rand Road Elementary,36,C,55.8,3
Burke County Schools,120316,Forest Hill Elementary,79.5,C,55.7,3
Whiteville City Schools,241316,Whiteville High,70.3,B,55.7,3
Cumberland County Schools,260364,Alderman Road Elementary,55.8,C,55.7,3
Haywood County Schools,440390,Tuscola High,39.3,C,55.7,3
Jones County Schools,520304,Pollocksville Elementary,65.6,C,55.7,3
Nash-Rocky Mount Schools,640348,Nashville Elementary,57,C,55.7,3
Davie County Schools,300336,William R Davie Elementary,56,C,55.6,3
Gaston County Schools,360448,McAdenville Elementary,55,C,55.6,3
Gates County Schools,370308,Central Middle School,49,C,55.6,3
Asheboro City Schools,761304,Asheboro High,66.1,B,55.6,3
Richmond County Schools,770340,L J Bell Elementary,74.6,C,55.6,3
Rowan-Salisbury Schools,800348,Enochville Elementary,58.7,C,55.6,3
Wake County Schools,920595,Wakefield High,26.3,C,55.6,3
Catawba County Schools,180343,Lyle Creek Elementary,64.2,C,55.5,3
Gaston County Schools,360431,John Chavis Middle School,57.8,C,55.5,3
Haywood County Schools,440320,Canton Middle,59.3,C,55.5,3
Hoke County Schools,470442,Sandy Grove Middle,60.1,C,55.5,3
Yadkin County Schools,990324,Jonesville Elementary,75.8,C,55.5,3
Davidson County Schools,290384,Welcome Elementary,50.7,C,55.4,3
Davie County Schools,300320,Mocksville Elementary,60.8,C,55.4,3
Durham Public Schools,320318,Club Boulevard Elementary,57.4,C,55.4,3
Harnett County Schools,430386,Western Harnett Middle,51.9,C,55.4,3
Asheboro City Schools,761308,South Asheboro Middle,67.2,C,55.4,3
Rowan-Salisbury Schools,800366,Millbridge Elementary,44.8,C,55.4,3
Wake County Schools,920393,Dillard Drive Elementary,61.4,C,55.4,3
Yancey County Schools,995312,Burnsville Elementary,61.5,C,55.4,3
Charter Schools,09B000,Emereau Bladen,40,C,55.4,3
Anson County Schools,40316,Lilesville Elementary,65.3,C,55.3,3
Guilford County Schools,410547,Southeast Guilford High,37.6,B,55.3,3
Charlotte-Mecklenburg Schools,600438,Lansdowne Elementary,42.3,C,55.3,3
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,51.6,C,55.3,3
Person County Schools,730340,North End Elementary,57.6,C,55.3,3
Randolph County Schools,760336,New Market Elementary,55.7,C,55.3,3
Wake County Schools,920415,Fox Road Elementary,75.6,C,55.3,3
Wake County Schools,920525,Partnership Elementary,35.2,C,55.3,3
Alamance-Burlington Schools,10324,Eastern Alamance High,36.9,C,55.2,3
Cabarrus County Schools,130324,Mount Pleasant High,28.3,C,55.2,3
Newton Conover City Schools,182324,South Newton Elementary,73,C,55.2,3
Columbus County Schools,240380,West Columbus High,73.9,B,55.2,3
Franklin County Schools,350330,Laurel Mill Elementary,78.1,C,55.2,3
Guilford County Schools,410322,Archer Elementary,54.5,C,55.2,3
Charlotte-Mecklenburg Schools,600338,Clear Creek Elementary,53.9,C,55.2,3
Orange County Schools,680336,Pathways Elementary,41.5,C,55.2,3
Stanly County Schools,840358,South Stanly Middle,52.4,C,55.2,3
Caldwell County Schools,140344,Happy Valley Elementary,61.8,C,55.1,3
Craven County Schools,250312,Brinson Memorial Elementary,54,C,55.1,3
Craven County Schools,250356,New Bern High,51.1,C,55.1,3
Gaston County Schools,360550,Gaston Virtual Academy,<5,C,55.1,3
Johnston County Schools,510406,West Johnston High,28.9,C,55.1,3
Macon County Schools,560328,Iotla Valley Elementary,63.6,C,55.1,3
Cabarrus County Schools,130314,Concord High,51.3,B,55,3
Caldwell County Schools,140312,Davenport A+ School,77.2,C,55,3
Guilford County Schools,410545,Academy at Smith,80,B,55,3
Charlotte-Mecklenburg Schools,600440,Lebanon Road Elementary,42.4,C,55,3
Onslow County Schools,670330,Morton Elementary,58.9,C,55,3
Sampson County Schools,820372,Roseboro-Salemburg Middle,72.7,C,55,3
Wake County Schools,920398,Durant Road Elementary,45.2,C,55,3
Wilkes County Schools,970312,C C Wright Elementary School,46.9,C,55,3
Charter Schools,35B000,Youngsville Academy,<5,C,55,3
Edenton-Chowan Schools,210304,Chowan Middle,65.9,C,54.9,3
Graham County Schools,380308,Robbinsville High,52.5,C,54.9,3
Guilford County Schools,410463,Mendenhall Middle,57.8,C,54.9,3
Moore County Schools,630356,Southern Pines Elementary,57.7,C,54.9,3
Onslow County Schools,670343,Southwest Elementary,53.9,C,54.9,3
Craven County Schools,250350,James W Smith Elementary,74.4,C,54.8,3
Charlotte-Mecklenburg Schools,600434,Kennedy Middle,51.4,C,54.8,3
Randolph County Schools,760338,Northeastern Randolph Middle,50.3,C,54.8,3
Wilson County Schools,980380,Speight Middle,33.9,C,54.8,3
Buncombe County Schools,110401,Enka Middle,60.1,C,54.7,3
Catawba County Schools,180364,River Bend Middle,57.8,C,54.7,3
Clay County Schools,220310,Hayesville High,42.3,B,54.7,3
Johnston County Schools,510364,Archer Lodge Middle,30.9,C,54.7,3
Orange County Schools,680327,Gravelly Hill Middle,46.6,C,54.7,3
Wake County Schools,920512,North Garner Middle,50.8,C,54.7,3
Forsyth County Schools,340496,R J Reynolds High,45.7,B,54.6,3
Guilford County Schools,410409,Hunter Elementary,66.7,C,54.6,3
Guilford County Schools,410535,Sedalia Elementary,58.5,C,54.6,3
Charlotte-Mecklenburg Schools,600415,Hopewell High,42.1,C,54.6,3
Randolph County Schools,760316,Coleridge Elementary,64.6,C,54.6,3
Beaufort County Schools,70327,John C Tayloe Elementary,63.2,C,54.5,3
Bladen County Schools,90376,Bladen Early College,74.5,C,54.5,3
Cumberland County Schools,260365,R Max Abbott Middle,57.8,C,54.5,3
Davidson County Schools,290307,Southmont Elementary,63.6,C,54.5,3
Henderson County Schools,450301,Apple Valley Middle,69.4,C,54.5,3
Charlotte-Mecklenburg Schools,600549,Steele Creek Elementary,68.6,C,54.5,3
Rowan-Salisbury Schools,800347,Shive Elementary,51.1,C,54.5,3
Wake County Schools,920636,Zebulon Middle,59.8,C,54.5,3
Catawba County Schools,180360,Oxford Elementary,64.9,C,54.4,3
Cherokee County Schools,200336,Ranger Elementary/Middle,49.2,C,54.4,3
Alamance-Burlington Schools,10400,Western Alamance High,28.6,C,54.3,3
Burke County Schools,120360,Mull Elementary,60.4,C,54.3,3
Clay County Schools,220312,Hayesville Middle,55.3,C,54.3,3
Franklin County Schools,350321,Franklinton High,42.3,B,54.3,3
Charlotte-Mecklenburg Schools,600509,Quail Hollow Middle,36.1,C,54.3,3
Onslow County Schools,670356,Trexler Middle,51.4,C,54.3,3
Pitt County Schools,740396,Stokes,55.6,C,54.3,3
Randolph County Schools,760378,Archdale-Trinity Middle,46,C,54.3,3
Wake County Schools,920360,Carroll Middle,46.9,C,54.3,3
Charter Schools,60N000,Aristotle Preparatory Academy,73.5,C,54.3,3
Charlotte-Mecklenburg Schools,600418,Croft Community Elementary,47.7,D,54.2,3
Wake County Schools,920394,Dillard Drive Middle,48.4,D,54.2,3
Guilford County Schools,410421,Jamestown Middle,58.9,C,54.2,3
Johnston County Schools,510356,Glendale-Kenly Elementary,63,C,54.2,3
Yadkin County Schools,990312,East Bend Elementary,62.7,C,54.2,3
Charter Schools,61K000,United Community School,17.3,C,54.2,3
Charter Schools,53B000,Ascend Leadership Academy Lee County,17.4,D,54.1,3
Brunswick County Schools,100348,West Brunswick High,57.3,C,54.1,3
Alexander County Schools,20316,Hiddenite Elementary,61,C,54,3
Burke County Schools,120390,Walter R Johnson Middle,81.5,C,54,3
Wake County Schools,920546,Rolesville High,39.6,C,54,3
Wayne County Public Schools,960324,Charles B Aycock High,42.1,C,54,3
Catawba County Schools,180332,Claremont Elementary,66.7,C,53.9,3
Hickory City Schools,181318,Hickory Career Arts Magnet High School,53.7,C,53.9,3
Columbus County Schools,240388,Williams Township,69.5,C,53.9,3
Graham County Schools,380306,Robbinsville Elementary,68.4,C,53.9,3
Charlotte-Mecklenburg Schools,600462,Mountain Island Lake Academy,37.4,C,53.9,3
Charlotte-Mecklenburg Schools,600490,Olympic High,44.9,B,53.9,3
Onslow County Schools,670340,Richlands High,42.9,B,53.9,3
Rowan-Salisbury Schools,800392,Rockwell Elementary,45.7,C,53.9,3
Charter Schools,65F000,Coastal Preparatory Academy,16.4,C,53.9,3
Johnston County Schools,510358,McGee's Crossroads Elem,44.4,C,53.8,3
Lincoln County Schools,550332,Lincolnton High,60.5,C,53.8,3
Stanly County Schools,840342,Oakboro Choice STEM,41,C,53.8,3
Wilson County Schools,980318,Beddingfield High,24.1,C,53.8,3
Caswell County Schools,170342,South Elementary,50.7,C,53.7,3
Catawba County Schools,180372,Saint Stephens Elementary,46.5,C,53.7,3
Hickory City Schools,181316,Grandview Middle,74,C,53.7,3
Iredell-Statesville Schools,490326,East Iredell Elementary,62.7,C,53.7,3
Person County Schools,730350,Person Early College Innovation & Ldrshp,37.8,C,53.7,3
Wilkes County Schools,970320,East Wilkes High School,41.3,B,53.7,3
Charter Schools,92L000,Torchlight Academy,50.3,C,53.7,3
Alamance-Burlington Schools,10347,Audrey W. Garrett Elementary,55.9,C,53.6,3
Harnett County Schools,430371,Overhills High,43.9,B,53.6,3
Charlotte-Mecklenburg Schools,600503,Piney Grove Elementary,48.5,C,53.6,3
Randolph County Schools,760320,Farmer Elementary,56.5,C,53.6,3
Richmond County Schools,770310,East Rockingham Elementary,84,C,53.6,3
Warren County Schools,930348,Vaughan Elementary,59.7,C,53.6,3
Wake County Schools,920396,Douglas Elementary,32.9,D,53.5,3
Cumberland County Schools,260348,Cumberland Mills Elementary,62.8,C,53.5,3
Lexington City Schools,291340,Pickett Elementary School,64.6,C,53.5,3
Asheboro City Schools,761332,Lindley Park Elementary,72.5,C,53.5,3
Stanly County Schools,840328,North Stanly Middle,51.4,C,53.5,3
Alleghany County Schools,30320,Sparta Elementary,69.9,C,53.4,3
Gaston County Schools,360310,Ashbrook High,60.7,B,53.4,3
Harnett County Schools,430358,Lillington-Shawtown Elementary,59.2,C,53.4,3
Charlotte-Mecklenburg Schools,600426,Independence High,51.1,B,53.4,3
Pitt County Schools,740402,Wellcome Middle,73.4,C,53.4,3
Sampson County Schools,820370,Union Middle,73.8,C,53.4,3
Charter Schools,60B000,Sugar Creek Charter,79.2,C,53.4,3
Charter Schools,61X000,Mountain Island Day Community Charter,9.2,C,53.4,3
Charter Schools,66A000,KIPP Gaston College Preparatory,43,C,53.4,3
Duplin County Schools,310308,Beulaville Elementary,59.8,C,53.3,3
Lenoir County Public Schools,540312,E B Frink Middle,66.3,C,53.3,3
Lincoln County Schools,550360,S Ray Lowder Elementary,46.8,C,53.3,3
Charlotte-Mecklenburg Schools,600351,Coulwood STEM Academy,44.3,C,53.3,3
Perquimans County Schools,720320,Perquimans County Middle,59.7,C,53.3,3
Robeson County Schools,780340,Long Branch Elementary,87,C,53.3,3
Surry County Schools,860352,Surry Central High,60,C,53.3,3
Wake County Schools,920488,Lynn Road Elementary,54.5,C,53.3,3
Burke County Schools,120364,Oak Hill Elementary,54.3,C,53.2,3
Lenoir County Public Schools,540344,Woodington Middle,61.3,C,53.2,3
Lincoln County Schools,550368,West Lincoln High,46.6,C,53.2,3
Rockingham County Schools,790314,Dalton McMichael High,42.8,C,53.2,3
Wayne County Public Schools,960382,Spring Creek Elementary,72.7,C,53.2,3
Bertie County Schools,80348,Aulander Elementary,63.9,C,53.1,3
Bladen County Schools,90320,Clarkton School of Discovery,71.2,C,53.1,3
Newton Conover City Schools,182316,Newton-Conover High,53.7,B,53.1,3
Harnett County Schools,430370,Overhills Middle,57.5,C,53.1,3
Rockingham County Schools,790350,Monroeton Elementary,60.2,C,53.1,3
Brunswick County Schools,100335,South Brunswick Middle,61.9,C,53,3
Cumberland County Schools,260427,South View High,64.9,B,53,3
Guilford County Schools,410522,Pilot Elementary,59.9,C,53,3
Halifax County Schools,420348,Pittman Elementary Leadership Academy,68.8,C,53,3
Moore County Schools,630376,Westmoore Elementary,55.7,C,53,3
Onslow County Schools,670336,Northwoods Park Middle,55.4,C,53,3
Randolph County Schools,760359,Southmont Elementary,62.8,C,53,3
Cleveland County Schools,230370,Union Elementary,52.6,C,52.9,3
Pender County Schools,710316,Burgaw Middle,88.3,C,52.9,3
Sampson County Schools,820388,Union High,70.1,C,52.9,3
Wayne County Public Schools,960340,Greenwood Middle,57.2,C,52.9,3
Davidson County Schools,290367,South Davidson Middle,57.7,C,52.8,3
Duplin County Schools,310344,East Duplin High,56.6,B,52.8,3
Franklin County Schools,350312,Cedar Creek Middle,52.9,C,52.8,3
Guilford County Schools,410595,Western Guilford High,50.9,C,52.8,3
Rutherford County Schools,810396,Spindale Elementary School,64,C,52.8,3
Wake County Schools,920608,West Millbrook Middle,46.9,C,52.8,3
Alexander County Schools,20302,Alexander Central High,38.3,B,52.7,3
Gaston County Schools,360432,Kiser Elementary,54.9,C,52.7,3
Guilford County Schools,410436,James Y Joyner Elementary,55.7,C,52.7,3
Johnston County Schools,510374,Princeton Elementary,51.9,C,52.7,3
Lee County Schools,530341,SanLee Middle School,73.5,C,52.7,3
Surry County Schools,860336,North Surry High,51.8,C,52.7,3
Wake County Schools,920348,Needham Broughton High,26.8,C,52.7,3
Warren County Schools,930344,South Warren Elementary,65.6,C,52.7,3
Avery County Schools,60332,Riverside Elementary,51.6,C,52.6,3
Cumberland County Schools,260342,C Wayne Collier Elementary,54.2,C,52.6,3
Harnett County Schools,430348,Johnsonville Elementary,63.3,C,52.6,3
Union County Public Schools,900352,Prospect Elementary,41,C,52.5,3
Wake County Schools,920542,Reedy Creek Elementary,56,C,52.5,3
Cleveland County Schools,230324,Crest High,44.9,C,52.4,3
Gaston County Schools,360400,Gardner Park Elementary,44.5,C,52.4,3
Henderson County Schools,450308,Dana Elementary,78,C,52.4,3
Johnston County Schools,510360,Meadow School,60.4,C,52.4,3
Nash-Rocky Mount Schools,640384,Swift Creek Elementary,49.8,C,52.4,3
Pitt County Schools,740330,Creekside Elementary,59.8,C,52.4,3
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,73.3,C,52.3,3
Forsyth County Schools,340520,South Fork Elementary,59.3,C,52.3,3
Harnett County Schools,430328,Coats Elementary,64.3,C,52.3,3
Charlotte-Mecklenburg Schools,600429,Governors Village STEM Academy (Upper),34,C,52.3,3
Onslow County Schools,670347,Stateside Elementary,42.9,C,52.3,3
Pamlico County Schools,690320,Pamlico County High,54.7,C,52.3,3
Burke County Schools,120340,Hillcrest Elementary,91.9,C,52.2,3
Catawba County Schools,180388,Webb A Murray Elementary,77.5,C,52.2,3
Cleveland County Schools,230357,North Elementary,65.5,C,52.2,3
Guilford County Schools,410562,Southwest Guilford High,39.1,B,52.2,3
Hoke County Schools,470316,J W McLauchlin Elementary,71.9,C,52.2,3
Charlotte-Mecklenburg Schools,600300,Albemarle Road Elementary,57.7,C,52.2,3
Charlotte-Mecklenburg Schools,600586,Winding Springs Elementary,48.6,C,52.2,3
Randolph County Schools,760352,Randleman Middle,65,C,52.2,3
Rowan-Salisbury Schools,800361,Carson High,40.5,B,52.2,3
Wilkes County Schools,970348,Mountain View Elementary School,40.7,C,52.2,3
Currituck County Schools,270306,Currituck County High,24.3,C,52.1,3
Harnett County Schools,430384,Western Harnett High,50.1,B,52.1,3
Henderson County Schools,450344,Sugarloaf Elementary,46.4,C,52.1,3
Franklin County Schools,350338,Terrell Lane Middle,71.9,C,52,3
Harnett County Schools,430344,Harnett Primary,70.1,C,52,3
Charlotte-Mecklenburg Schools,600538,Southwest Middle School,56.7,C,52,3
Mitchell County Schools,610320,Gouge Elementary,59,C,52,3
Pitt County Schools,740366,Junius H Rose High,47.9,C,52,3
Henderson County Schools,450346,Upward Elementary,76,C,51.9,3
Pitt County Schools,740320,Bethel Elementary,71.9,C,51.9,3
Yadkin County Schools,990328,West Yadkin Elementary,67.1,C,51.9,3
Charter Schools,61J000,Lakeside Charter Academy,14.3,C,51.9,3
Granville County Schools,390352,South Granville High,38.5,C,51.8,3
Charlotte-Mecklenburg Schools,600450,McClintock Middle,42,C,51.8,3
Stokes County Schools,850350,Southeastern Middle,55.4,C,51.8,3
Asheville City Schools,111304,Hall Fletcher Elementary,55.1,C,51.7,3
Durham Public Schools,320363,E K Powe Elementary,50.8,C,51.7,3
Forsyth County Schools,340516,Southeast Middle,51.8,C,51.7,3
Onslow County Schools,670333,Northside High,51,B,51.7,3
Davidson County Schools,290364,Silver Valley Elementary,71.5,C,51.6,3
Durham Public Schools,320366,Sherwood Githens Middle,59.8,C,51.6,3
Gaston County Schools,360440,Lowell Elementary,60.3,C,51.6,3
Harnett County Schools,430351,Highland Middle,58.3,C,51.6,3
Nash-Rocky Mount Schools,640304,Bailey Elementary,40.5,C,51.6,3
Vance County Schools,910308,Carver Elementary,67.6,C,51.6,3
Vance County Schools,910311,Clarke Elementary,72.7,C,51.6,3
Wake County Schools,920362,Carver Elementary,63.8,C,51.6,3
Johnston County Schools,510410,Polenta Elementary,35.3,D,51.5,3
Forsyth County Schools,340454,Mount Tabor High School,45.2,B,51.5,3
Guilford County Schools,410481,Nathanael Greene Elementary,42,C,51.5,3
Montgomery County Schools,620312,Candor Elementary,90.1,C,51.5,3
Stanly County Schools,840336,Norwood Elementary,61.8,C,51.5,3
Union County Public Schools,900332,Marshville Elementary,53.5,C,51.5,3
Wayne County Public Schools,960374,Rosewood Middle,53.4,C,51.5,3
