county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Bertie,1,30.40,35433,80356,West Bertie Elementary,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521,Bertie County Schools,68.90,D,42.90,3.00
Bertie,1,30.40,35433,80312,Bertie High,Windsor,"716 US Hwy 13 North, Windsor, NC 27983",-78.0609004,35.3202529,Bertie County Schools,56.70,D,26.20,4.00
Bladen,1,41.80,36976,90376,Bladen Early College,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Bladen County Schools,74.50,C,54.50,3.00
Bladen,1,41.80,36976,90328,East Arcadia Elementary,Riegelwood,"21451 NC Hwy 87 East, Riegelwood, NC 28456",-78.342192,34.4201,Bladen County Schools,81.80,D,37.00,4.00
Bladen,1,41.80,36976,90330,East Bladen High,Elizabethtown,"5600 NC Hwy 87 East, Elizabethtown, NC 28337",-78.530589,34.580132,Bladen County Schools,70.70,C,44.30,3.00
Bladen,1,41.80,36976,09B000,Emereau Bladen,Elizabethtown,"995 Airport Rd, Elizabethtown, NC 28337",-78.5733569,34.5989151,Charter Schools,40.00,C,55.40,3.00
Bladen,1,41.80,36976,90318,Bladen Lakes Primary,Elizabethtown,"9554 Johnsontown Road, Elizabethtown, NC 28337",-78.595286,34.711064,Bladen County Schools,83.50,D,47.30,3.00
Bladen,1,41.80,36976,90333,Elizabethtown Primary,Elizabethtown,"301 Mercer Road, Elizabethtown, NC 28337",-78.604944,34.6207993,Bladen County Schools,83.20,C,49.40,3.00
Bladen,1,41.80,36976,90332,Elizabethtown Middle,Elizabethtown,"1496 Hwy 701 South, Elizabethtown, NC 28337",-78.6151174,34.6135997,Bladen County Schools,75.50,D,42.00,3.00
Bladen,1,41.80,36976,09A000,Paul R Brown Leadership Academy,Elizabethtown,"1300 Martin L King Jr Dr, Elizabethtown, NC 28337",-78.6176359,34.6212429,Charter Schools,72.30,F,27.30,4.00
Bladen,1,41.80,36976,90320,Clarkton School of Discovery,Clarkton,"10000 North College Street, Clarkton, NC 28433",-78.6535959,34.4945624,Bladen County Schools,71.20,C,53.10,3.00
Bladen,1,41.80,36976,90324,Dublin Primary,Dublin,"7048 Albert Street, Dublin, NC 28332",-78.7201518,34.6548787,Bladen County Schools,85.20,D,41.10,3.00
Bladen,1,41.80,36976,90368,West Bladen High,Bladenboro,"1600 NC Hwy 410, Bladenboro, NC 28320",-78.7413234,34.6384911,Bladen County Schools,71.70,C,41.40,3.00
Bladen,1,41.80,36976,90365,Tar Heel Middle,Tar Heel,"14888 Hwy 87 West, Tar Heel, NC 28392",-78.7943023,34.7366219,Bladen County Schools,83.90,D,42.80,3.00
Bladen,1,41.80,36976,90315,Bladenboro Middle,Bladenboro,"910 South Main Street, Bladenboro, NC 28320",-78.797447,34.53049,Bladen County Schools,74.40,C,50.50,3.00
Bladen,1,41.80,36976,90352,Plain View Primary,Tar Heel,"1963 Chicken Foot Road, Tar Heel, NC 28392",-78.8399958,34.7385359,Bladen County Schools,77.90,D,43.20,3.00
Bladen,1,41.80,36976,90317,Bladenboro Primary,Bladenboro,"312 Old Whiteville Road, Bladenboro, NC 28320",-78.9856646,34.6114165,Bladen County Schools,83.90,C,56.30,3.00
Brunswick,3,19.00,60163,100302,Belville Elementary,Leland,"575 River Road, Leland, NC 28451",-77.9841636,34.2209184,Brunswick County Schools,55.60,B,62.90,2.00
