District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Gates County Schools,370312,Gates County Senior High,09-12,45.4,C,50.7,,,
Charlotte-Mecklenburg Schools,600318,Whitewater Academy,PK-05,49.3,C,50.7,,,
Charlotte-Mecklenburg Schools,600521,Stoney Creek Elementary,0K-05,42.2,C,50.7,,,
Mitchell County Schools,610302,Bowman Middle,05-08,51.7,C,50.7,,,
Wayne County Public Schools,960372,Rosewood High,09-12,48.9,C,50.7,,,
Cumberland County Schools,260344,J W Coon Elementary,PK-05,67.6,C,50.6,,,
Guilford County Schools,410529,Lucy Ragsdale High,09-12,53.5,B,50.6,,,
Charlotte-Mecklenburg Schools,600566,University Meadows Elementary,PK-05,46.8,C,50.6,,,
Montgomery County Schools,620314,East Middle,06-08,83.9,C,50.6,,,
Montgomery County Schools,620334,Star Elementary,PK-05,73.7,C,50.6,,,
Onslow County Schools,670323,Jacksonville Commons Elem,0K-05,68.2,C,50.6,,,
Bladen County Schools,090315,Bladenboro Middle,05-08,74.4,C,50.5,,,
Forsyth County Schools,340532,Union Cross Traditional Acad,PK-05,56.4,C,50.5,,,
Guilford County Schools,410412,Irving Park Elementary,PK-05,53.8,C,50.5,,,
Charlotte-Mecklenburg Schools,600479,Northeast Middle,06-08,38.9,C,50.5,,,
Nash-Rocky Mount Schools,640316,Cedar Grove Elementary,PK-05,52.4,C,50.5,,,
Wake County Schools,920616,Wilburn Elementary,PK-05,74.9,D,50.5,,,
Rockingham County Schools,790390,Stoneville Elementary,PK-05,71.6,C,50.5,,,
Yadkin County Schools,990326,Starmount High,08-12,52.7,C,50.5,,,
Charlotte-Mecklenburg Schools,600432,Joseph W Grier Academy,PK-05,44.9,D,50.4,,,
Iredell-Statesville Schools,490366,Troutman Middle,06-08,47.1,D,50.4,,,
Davidson County Schools,290308,Central Davidson High,09-12,36.7,B,50.4,,,
Lexington City Schools,291352,Southwest Elementary School,01-05,57.3,D,50.4,,,
Charlotte-Mecklenburg Schools,600410,Hickory Grove Elementary,PK-05,53.1,C,50.4,,,
Onslow County Schools,670329,Meadow View Elementary,0K-05,56.0,C,50.4,,,
Onslow County Schools,670339,Richlands Elementary,0K-05,53.0,C,50.4,,,
Rockingham County Schools,790327,Huntsville Elementary,PK-05,65.3,C,50.4,,,
Forsyth County Schools,340448,Mineral Springs Elementary,PK-05,64.5,C,50.3,,,
Gaston County Schools,360468,North Belmont Elementary,PK-05,42.8,C,50.3,,,
Onslow County Schools,670344,Southwest High,09-12,54.1,C,50.3,,,
Swain County Schools,870314,Swain County High School,09-12,48.5,C,50.3,,,
Davidson County Schools,290328,Fair Grove Elementary,PK-05,48.3,D,50.2,,,
Union County Public Schools,900388,Wingate Elementary,PK-05,53.2,D,50.2,,,
Iredell-Statesville Schools,490384,West Iredell Middle,06-08,60.6,C,50.2,,,
Charlotte-Mecklenburg Schools,600481,Northridge Middle,06-08,37.7,C,50.2,,,
Wake County Schools,920597,Wakelon Elementary,PK-05,72.3,D,50.2,,,
Pitt County Schools,740376,Pactolus,PK-08,68.8,C,50.1,,,
Charter Schools,41N000,The Experiential School of Greensboro,0K-06,18.7,D,50.0,,,
Bertie County Schools,080360,Colerain Elementary,PK-05,66.3,C,50.0,,,
Cabarrus County Schools,130344,Wolf Meadow Elementary,0K-05,54.5,C,50.0,,,
Davidson County Schools,290366,Southwood Elementary,PK-05,65.5,C,50.0,,,
Randolph County Schools,760324,Franklinville Elementary,0K-05,62.9,D,50.0,,,
Pender County Schools,710312,Burgaw Elementary,PK-05,90.6,C,50.0,,,
Pitt County Schools,740304,Ayden Elementary,PK-05,65.6,C,50.0,,,
Richmond County Schools,770364,Cordova Middle,06-08,89.1,C,50.0,,,
Wake County Schools,920336,Brentwood Elementary,PK-05,74.8,C,50.0,,,
Charter Schools,20A000,The Learning Center,0K-08,39.0,C,50.0,,,
Charter Schools,92M000,PreEminent Charter,0K-08,74.7,C,50.0,,,
Hoke County Schools,470320,West Hoke Middle,06-08,70.1,C,49.9,,,
Mount Airy City Schools,862310,Jones Intermediate,03-05,64.1,D,49.9,,,
Buncombe County Schools,110412,Williams Elementary,0K-05,59.7,C,49.8,,,
Durham Public Schools,320369,Sandy Ridge Elementary,PK-05,70.5,C,49.8,,,
Charlotte-Mecklenburg Schools,600329,Briarwood Elementary,PK-05,55.3,C,49.8,,,
Richmond County Schools,770316,Ellerbe Middle,06-08,77.9,C,49.8,,,
Beaufort County Schools,070329,Northeast Elementary,PK-08,56.6,C,49.7,,,
Beaufort County Schools,070338,P S Jones Middle,06-08,60.8,C,49.7,,,
Duplin County Schools,310356,Kenansville Elementary,0K-08,68.6,C,49.7,,,
Durham Public Schools,320372,Southwest Elementary,PK-05,58.3,C,49.7,,,
Gaston County Schools,360504,Tryon Elementary,PK-05,47.6,C,49.7,,,
Clinton City Schools,821320,Sampson Middle,06-08,65.6,D,49.7,,,
Montgomery County Schools,620340,West Montgomery High,09-12,53.6,B,49.7,,,
Wake County Schools,920404,East Garner Middle,06-08,60.3,C,49.7,,,
Charter Schools,32H000,Research Triangle Charter,0K-08,67.3,C,49.7,,,
Graham County Schools,380310,Robbinsville Middle,07-08,63.9,C,49.6,,,
New Hanover County Schools,650327,Eugene Ashley High,09-12,42.5,C,49.6,,,
Onslow County Schools,670324,Jacksonville High,09-12,47.0,B,49.6,,,
Columbus County Schools,240356,Hallsboro Middle,06-08,73.9,C,49.5,,,
Davidson County Schools,290388,West Davidson High,09-12,40.1,C,49.5,,,
Franklin County Schools,350339,Royal Elementary,PK-05,73.4,C,49.5,,,
Onslow County Schools,670345,Southwest Middle,06-08,61.4,C,49.5,,,
Pitt County Schools,740337,E B Aycock Middle,06-08,70.8,C,49.5,,,
Clinton City Schools,821308,Clinton High,09-12,54.2,C,49.5,,,
Wayne County Public Schools,960387,Spring Creek Middle,05-08,65.2,C,49.5,,,
Bladen County Schools,090333,Elizabethtown Primary,PK-04,83.2,C,49.4,,,
Cabarrus County Schools,130316,Jay M Robinson High,09-12,46.6,C,49.4,,,
Nash-Rocky Mount Schools,640362,Southern Nash Middle,06-08,64.6,C,49.4,,,
Hickory City Schools,181322,Hickory High,09-13,47.6,C,49.3,,,
Randolph County Schools,760358,Southwestern Randolph High,09-12,47.7,B,49.3,,,
Rowan-Salisbury Schools,800320,China Grove Middle,06-08,47.5,C,49.3,,,
Wake County Schools,920560,Smith Elementary,PK-05,77.1,C,49.3,,,
Buncombe County Schools,110348,Emma Elementary,0K-04,45.7,C,49.2,,,
Chatham County Schools,190370,Virginia Cross Elementary,PK-05,91.7,C,49.2,,,
Craven County Schools,250364,Trent Park Elementary,0K-05,74.9,C,49.2,,,
Charlotte-Mecklenburg Schools,600398,Greenway Park Elementary,PK-05,52.8,D,49.2,,,
Pitt County Schools,740338,Elmhurst Elementary,0K-05,59.2,C,49.2,,,
Cumberland County Schools,260419,Reid Ross Classical Middle,06-08,77.3,D,49.2,,,
Charter Schools,32M000,Global Scholars Academy,0K-08,85.6,D,49.2,,,
Durham Public Schools,320314,The School for Creative Studies,06-12,51.4,C,49.1,,,
Lee County Schools,530314,East Lee Middle,06-08,66.6,D,49.1,,,
Jackson County Schools,500316,Blue Ridge School,PK-06,42.0,D,49.0,,,
Forsyth County Schools,340453,Moore Magnet Elementary,PK-05,47.2,D,49.0,,,
Onslow County Schools,670337,Heritage Elementary School,0K-05,50.5,D,49.0,,,
Forsyth County Schools,340540,Walkertown Elementary,PK-05,45.0,C,49.0,,,
Granville County Schools,390321,Granville Academy,PK-12,38.6,D,48.9,,,
Lee County Schools,530308,Broadway Elementary,PK-05,72.8,C,48.9,,,
Burke County Schools,120386,W A Young Elementary,PK-05,64.5,C,48.8,,,
Hoke County Schools,470441,Sandy Grove Elementary,PK-05,76.0,C,48.8,,,
McDowell County Schools,590306,Eastfield Global Magnet School,PK-05,77.0,C,48.8,,,
Kannapolis City Schools,132312,Fred L Wilson Elementary,0K-05,45.7,C,48.7,,,
Rockingham County Schools,790344,Leaksville-Spray Elementary,PK-05,62.8,D,48.7,,,
Lenoir County Public Schools,540308,Contentnea-Savannah School,PK-08,72.5,C,48.7,,,
McDowell County Schools,590310,East McDowell Middle School,06-08,69.7,C,48.7,,,
Wilkes County Schools,970390,Wilkes Central High School,09-12,45.3,C,48.7,,,
Charlotte-Mecklenburg Schools,600463,River Oaks Academy,PK-05,39.0,D,48.6,,,
Bertie County Schools,080362,Windsor Elementary,PK-05,65.6,C,48.6,,,
Hertford County Schools,460332,Riverview Elementary,PK-05,66.3,D,48.6,,,
Charlotte-Mecklenburg Schools,600305,J M Alexander Middle,06-08,52.4,D,48.5,,,
Guilford County Schools,410508,Page High,09-12,47.6,C,48.5,,,
Buncombe County Schools,110410,Avery's Creek Elementary,0K-04,63.9,D,48.5,,,
Lee County Schools,530356,West Lee Middle,06-08,68.5,D,48.5,,,
Johnston County Schools,510326,West Clayton Elementary,PK-05,43.2,D,48.4,,,
Durham Public Schools,320367,R N Harris Elementary,PK-05,50.7,C,48.4,,,
Craven County Schools,250332,H J MacDonald Middle,06-08,67.1,D,48.4,,,
Pender County Schools,710320,Cape Fear Middle,06-08,78.3,C,48.4,,,
Pitt County Schools,740386,Sam D Bundy Elementary,03-05,56.2,C,48.4,,,
Vance County Schools,910314,Dabney Elementary,PK-05,65.9,C,48.4,,,
Cumberland County Schools,260308,Ashley Elementary,03-05,59.0,C,48.3,,,
Cumberland County Schools,260450,Warrenwood Elementary,PK-05,77.8,C,48.3,,,
Forsyth County Schools,340544,Walkertown Middle,06-08,67.0,C,48.3,,,
Charter Schools,32D000,Kestrel Heights School,0K-08,28.9,C,48.3,,,
Union County Public Schools,900314,Monroe Middle,06-08,51.1,D,48.2,,,
Pitt County Schools,740340,Farmville Middle,06-08,57.9,C,48.2,,,
Charter Schools,61T000,Movement Charter School,0K-04,76.8,D,48.2,,,
Wake County Schools,920580,Vandora Springs Elementary,PK-05,60.3,C,48.2,,,
Kannapolis City Schools,132328,Jackson Park Elementary,0K-05,40.8,C,48.1,,,
Gaston County Schools,360470,North Gaston High,09-12,49.5,C,48.1,,,
New Hanover County Schools,650316,College Park Elementary,0K-05,73.3,C,48.1,,,
Randolph County Schools,760348,Randleman High,09-12,54.4,C,48.1,,,
Wilson County Schools,980344,John W Jones Elementary,PK-05,51.0,C,48.1,,,
Craven County Schools,250308,Bridgeton Elementary,PK-05,69.6,C,48.0,,,
Cumberland County Schools,260338,Cliffdale Elementary,PK-05,75.2,C,48.0,,,
Iredell-Statesville Schools,490363,Third Creek Elementary,PK-05,73.3,C,48.0,,,
Charlotte-Mecklenburg Schools,600453,Merry Oaks International Academy,PK-05,60.1,C,48.0,,,
Columbus County Schools,240308,Acme Delco Elementary,PK-05,82.1,D,48.0,,,
Charter Schools,65C000,Douglass Academy,0K-05,85.5,D,48.0,,,
Guilford County Schools,410461,McLeansville Elementary,PK-05,49.9,C,47.9,,,
Harnett County Schools,430376,South Harnett Elementary,03-05,65.4,D,47.9,,,
Wake County Schools,920436,Garner High,09-12,40.5,C,47.9,,,
Guilford County Schools,410340,Monticello-Brown Summit Elem,PK-05,65.7,C,47.8,,,
Richmond County Schools,770348,Richmond Senior High,10-12,68.7,C,47.8,,,
Caswell County Schools,170339,Oakwood Elementary,PK-05,63.9,C,47.7,,,
Cumberland County Schools,260352,Cumberland Road Elementary,PK-05,78.7,C,47.7,,,
Iredell-Statesville Schools,490368,Union Grove Elementary,PK-05,49.4,C,47.7,,,
Johnston County Schools,510372,Pine Level Elementary,PK-05,56.9,C,47.7,,,
Cumberland County Schools,260414,Benjamin J Martin Elementary,PK-05,68.8,D,47.7,,,
Scotland County Schools,830356,South Scotland Elementary,PK-05,64.2,C,47.7,,,
Columbus County Schools,240332,Chadbourn Elementary,PK-05,91.3,D,47.7,,,
Onslow County Schools,670332,Northwoods Elementary,0K-05,72.2,C,47.6,,,
Orange County Schools,680324,Efland Cheeks Elementary,PK-05,65.9,C,47.6,,,
Orange County Schools,680330,New Hope Elementary,PK-05,61.5,C,47.6,,,
Richmond County Schools,770346,Monroe Avenue Elementary,PK-05,92.1,C,47.6,,,
Union County Public Schools,900316,Forest Hills High,09-12,60.0,C,47.6,,,
Wake County Schools,920600,Wendell Elementary,0K-05,47.2,C,47.6,,,
Cumberland County Schools,260400,Montclair Elementary,PK-05,71.5,C,47.5,,,
Franklin County Schools,350336,Louisburg High,09-12,56.5,C,47.5,,,
Granville County Schools,390322,Granville Central High,09-12,55.1,C,47.5,,,
Halifax County Schools,420304,Aurelian Springs Institute of Global Lea,PK-05,69.5,C,47.5,,,
Charlotte-Mecklenburg Schools,600518,Ridge Road Middle,06-08,53.8,C,47.5,,,
Guilford County Schools,410397,Western Guilford Middle,06-08,76.4,D,47.5,,,
Catawba County Schools,180320,Bunker Hill High,09-12,50.0,C,47.4,,,
Guilford County Schools,410313,Southern Guilford Middle,06-08,52.5,D,47.4,,,
Cumberland County Schools,260368,Hope Mills Middle,06-08,55.1,D,47.4,,,
Richmond County Schools,770351,Richmond 9th Grade Academy,09-09,72.5,C,47.4,,,
Wake County Schools,920302,River Bend Elementary,PK-05,60.4,C,47.4,,,
Caldwell County Schools,140396,Whitnel Elementary,PK-05,50.8,C,47.3,,,
Columbus County Schools,240304,Acme Delco Middle,06-08,79.5,C,47.3,,,
Washington County Schools,940306,Creswell Elementary,PK-05,53.5,D,47.3,,,
Lenoir County Public Schools,540316,La Grange Elementary,PK-05,76.8,C,47.3,,,
Charlotte-Mecklenburg Schools,600501,Pinewood Elementary,PK-05,48.9,C,47.3,,,
Charlotte-Mecklenburg Schools,600512,Rama Road Elementary,PK-05,50.7,C,47.3,,,
Person County Schools,730344,Northern Middle,06-08,71.4,D,47.3,,,
Vance County Schools,910340,New Hope Elementary,PK-05,75.1,D,47.3,,,
Scotland County Schools,830304,Carver Middle,06-08,75.2,D,47.3,,,
Bladen County Schools,090318,Bladen Lakes Primary,PK-04,83.5,D,47.3,,,
Onslow County Schools,670322,Hunters Creek Middle,06-08,56.3,D,47.2,,,
Jones County Schools,520320,Jones Senior High,09-12,64.7,B,47.2,,,
Scotland County Schools,830328,Laurel Hill Elementary,PK-05,77.9,D,47.2,,,
Union County Public Schools,900304,Benton Heights Elementary,PK-05,47.4,C,47.2,,,
Charter Schools,41C000,Guilford Preparatory Academy,0K-08,63.9,C,47.2,,,
Granville County Schools,390360,Stovall-Shaw Elementary,PK-05,65.0,D,47.1,,,
Robeson County Schools,780384,Prospect Elementary,PK-08,74.4,C,47.1,,,
Columbus County Schools,240372,Tabor City Elementary,PK-05,75.3,D,47.1,,,
Charter Schools,96F000,Wayne Preparatory Academy,0K-08,32.9,C,47.1,,,
Charter Schools,13B000,Cabarrus Charter Academy,0K-12,36.1,D,47.0,,,
Beaufort County Schools,070339,Southside High,09-12,58.0,C,47.0,,,
Caldwell County Schools,140332,Gamewell Middle,06-08,77.3,C,47.0,,,
Durham Public Schools,320324,Hillandale Elementary,PK-05,65.2,C,47.0,,,
Wake County Schools,920384,Creech Road Elementary,PK-05,73.3,C,47.0,,,
Warren County Schools,930330,Mariam Boyd Elementary,PK-05,65.4,C,47.0,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,PK-05,52.0,D,46.9,,,
Edgecombe County Public School,330308,G W Carver Elementary,PK-05,50.1,C,46.9,,,
Forsyth County Schools,340564,Wiley Magnet Middle,06-08,47.6,C,46.9,,,
Franklin County Schools,350332,Louisburg Elementary,PK-05,85.2,C,46.9,,,
Harnett County Schools,430347,Harnett Central Middle,06-08,59.3,D,46.9,,,
New Hanover County Schools,650352,New Hanover High,09-12,54.6,C,46.9,,,
Franklin County Schools,350318,Franklinton Elementary,PK-05,79.3,C,46.8,,,
Charter Schools,26C000,The Capitol Encore Academy,0K-08,59.1,D,46.8,,,
Wayne County Public Schools,960330,Eastern Wayne High,09-12,52.3,C,46.8,,,
Craven County Schools,250344,Havelock Middle,06-08,67.5,D,46.7,,,
Harnett County Schools,430316,Boone Trail Elementary,PK-05,69.3,D,46.7,,,
Cumberland County Schools,260404,William H Owen Elementary,PK-05,72.0,D,46.7,,,
Scotland County Schools,830349,Spring Hill Middle,06-08,76.5,D,46.7,,,
Wake County Schools,920532,Poe Elementary,PK-05,65.0,C,46.7,,,
Pasquotank County Schools,700322,River Road Middle,06-08,67.2,C,46.6,,,
Asheboro City Schools,761320,Charles W McCrary Elementary,0K-05,88.4,C,46.6,,,
Guilford County Schools,410542,George C Simkins Jr Elementary,PK-05,80.3,D,46.6,,,
Cumberland County Schools,260367,Bill Hefner Elementary,0K-05,62.0,C,46.5,,,
Wake County Schools,920370,Centennial Campus Middle,06-08,53.5,D,46.5,,,
Edgecombe County Public School,330348,West Edgecombe Middle,06-08,55.4,C,46.5,,,
Madison County Schools,570318,Madison High School,09-12,48.0,C,46.5,,,
Pitt County Schools,740388,South Central,09-12,53.4,C,46.5,,,
Asheboro City Schools,761336,North Asheboro Middle,06-08,88.5,C,46.5,,,
Stanly County Schools,840303,Albemarle Middle,06-08,56.6,C,46.5,,,
Lab Schools,50Z000,Catamount School,06-08,45.5,D,46.4,,,
Charter Schools,41H000,College Prep and Leadership Academy,0K-12,62.0,D,46.4,,,
Charlotte-Mecklenburg Schools,600565,University Park Creative Arts,0K-05,63.0,D,46.4,,,
Nash-Rocky Mount Schools,640358,Red Oak Middle,06-08,55.4,C,46.4,,,
New Hanover County Schools,650368,Sunset Park Elementary,0K-05,90.4,C,46.4,,,
Robeson County Schools,780416,Union Elementary,PK-06,84.6,C,46.4,,,
Harnett County Schools,430336,Erwin Elementary,03-05,58.4,D,46.3,,,
Harnett County Schools,430346,Harnett Central High,09-12,49.2,C,46.3,,,
Northampton County Schools,660306,Central Elementary,PK-04,75.8,D,46.3,,,
Gaston County Schools,360352,Chapel Grove Elementary,PK-05,50.5,C,46.2,,,
Hoke County Schools,470328,Scurlock Elementary,PK-05,59.4,C,46.2,,,
Guilford County Schools,410530,Reedy Fork Elementary,PK-05,72.3,D,46.2,,,
Stanly County Schools,840356,South Stanly High,09-12,43.8,C,46.2,,,
Charter Schools,41K000,Piedmont Classical High School,09-12,22.6,C,46.2,,,
Wake County Schools,920476,Lincoln Heights Elementary,PK-05,52.2,C,46.1,,,
Charter Schools,34F000,Forsyth Academy,0K-08,81.9,D,46.1,,,
Chatham County Schools,190336,Jordan Matthews High,09-12,74.3,C,46.0,,,
Cumberland County Schools,260359,E E Smith High,09-12,64.9,C,46.0,,,
Hoke County Schools,470332,East Hoke Middle,06-08,69.8,D,46.0,,,
Robeson County Schools,780336,Littlefield Middle,04-08,74.5,D,46.0,,,
Buncombe County Schools,110340,Erwin High,09-12,58.2,C,45.9,,,
Montgomery County Schools,620339,West Middle,06-08,59.0,D,45.9,,,
Cumberland County Schools,260407,Lake Rim Elementary,PK-05,50.0,D,45.8,,,
Durham Public Schools,320312,C E Jordan High,09-12,39.3,C,45.8,,,
Guilford County Schools,410427,Johnson Street Global Studies,0K-08,60.5,C,45.8,,,
Buncombe County Schools,110342,Erwin Middle,07-08,68.4,D,45.8,,,
Granville County Schools,390312,C. G. Credle Elementary,PK-05,78.6,D,45.8,,,
Kannapolis City Schools,132332,Shady Brook Elementary,0K-05,49.2,C,45.7,,,
Wake County Schools,920403,East Garner Elementary,PK-05,76.5,D,45.7,,,
Forsyth County Schools,340530,Speas Elementary,PK-05,50.3,D,45.6,,,
Craven County Schools,250320,Vanceboro-Farm Life Elementary,PK-05,79.6,D,45.6,,,
Wake County Schools,920464,Knightdale Elementary,PK-05,70.5,C,45.6,,,
Gaston County Schools,360526,York Chester Middle,06-08,60.9,D,45.5,,,
Perquimans County Schools,720316,Perquimans County High,09-12,52.4,C,45.5,,,
Cleveland County Schools,230346,James Love Elementary,PK-04,74.6,D,45.5,,,
Charter Schools,33A000,North East Carolina Prep,0K-12,61.2,C,45.5,,,
Franklin County Schools,350324,Franklinton Middle,06-08,68.3,C,45.4,,,
Guilford County Schools,410499,Oak Hill Elementary,PK-05,60.2,C,45.4,,,
Guilford County Schools,410580,Union Hill Elementary,PK-05,63.5,C,45.4,,,
Charter Schools,00B000,NC Virtual Academy,0K-12,28.0,D,45.3,,,
Alamance-Burlington Schools,010380,South Graham Elementary,PK-05,46.4,D,45.3,,,
Wake County Schools,920480,Lockhart Elementary,PK-05,63.4,D,45.3,,,
Mitchell County Schools,610334,Mitchell High,09-12,41.6,C,45.3,,,
Asheboro City Schools,761321,Donna L Loflin Elementary,0K-05,84.1,C,45.3,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,PK-05,53.1,C,45.2,,,
Kannapolis City Schools,132336,Woodrow Wilson Elementary,PK-05,43.5,D,45.2,,,
Cabarrus County Schools,130340,Winecoff Elementary,PK-05,43.6,D,45.2,,,
Charlotte-Mecklenburg Schools,600474,Newell Elementary,0K-05,53.5,D,45.2,,,
Wayne County Public Schools,960338,Grantham Middle,05-08,57.9,D,45.2,,,
Cumberland County Schools,260371,Ireland Drive Middle,06-08,71.3,C,45.1,,,
Durham Public Schools,320343,Lucas Middle,06-08,64.6,C,45.1,,,
Guilford County Schools,410310,Allen Jay Elementary,PK-05,58.0,D,45.1,,,
Robeson County Schools,780344,Magnolia Elementary,PK-08,82.3,C,45.1,,,
Wake County Schools,920411,East Wake High,09-12,54.8,C,45.1,,,
Brunswick County Schools,100320,Lincoln Elementary,PK-05,81.8,C,45.0,,,
Cumberland County Schools,260454,Westover Middle,06-08,72.6,C,45.0,,,
Bertie County Schools,080314,Bertie Middle,06-08,58.2,D,45.0,,,
Wilson County Schools,980336,Fike High,09-12,15.1,C,45.0,,,
Durham Public Schools,320376,Spring Valley Elementary,PK-05,61.7,C,44.9,,,
Charlotte-Mecklenburg Schools,600317,Whitewater Middle,06-08,50.3,C,44.9,,,
Stokes County Schools,850312,Germanton Elementary,0K-05,53.2,D,44.8,,,
Edgecombe County Public School,330360,Martin Millennium Academy,0K-08,44.3,C,44.8,,,
